pc_timestamp,tick,gyrx_dps,gyrx_raw,gyry_raw,gyrz_raw,yaw_cf,yaw_kal,temp,angle,speed,odom_x,odom_y,kp,ki,kd
1781272926.629,113300,-0.120,-2,1,0,-2.646,-2.650,26.88,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272926.779,113400,0.000,0,0,0,-2.649,-2.650,26.89,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272926.779,113500,0.000,0,2,-1,-2.652,-2.650,26.88,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272926.904,113600,-0.060,-1,0,-2,-2.655,-2.650,26.86,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272927.029,113700,0.000,0,0,-1,-2.657,-2.660,26.87,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272927.150,113801,0.060,1,0,-2,-2.658,-2.660,26.91,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272927.151,113900,0.000,0,1,0,-2.660,-2.660,26.87,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272927.277,114000,0.000,0,0,-1,-2.661,-2.660,26.87,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272927.350,114100,0.000,0,0,0,-2.665,-2.660,26.86,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272927.477,114201,0.060,1,1,0,-2.666,-2.670,26.87,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272927.603,114300,0.000,0,2,-2,-2.669,-2.670,26.91,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272927.652,114400,0.000,0,2,0,-2.671,-2.670,26.88,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272927.787,114501,0.000,0,0,0,-2.672,-2.670,26.84,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272927.926,114600,-0.120,-2,0,0,-2.675,-2.680,26.88,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272928.120,114700,0.060,1,1,0,-2.678,-2.680,26.88,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272928.121,114800,0.000,0,1,0,-2.680,-2.680,26.87,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272928.227,114900,0.000,0,1,0,-2.682,-2.680,26.90,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272928.315,115001,0.000,0,0,0,-2.683,-2.680,26.90,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272928.513,115100,0.060,1,0,0,-2.685,-2.680,26.89,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272928.514,115200,-0.060,-1,2,-1,-2.685,-2.690,26.89,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272928.613,115301,-0.180,-3,1,0,-2.689,-2.690,26.91,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272928.704,115400,0.000,0,1,0,-2.691,-2.690,26.91,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272928.809,115500,0.000,0,0,2,-2.691,-2.690,26.89,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272928.904,115600,0.000,0,0,0,-2.692,-2.690,26.88,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272928.989,115701,0.000,0,0,-2,-2.694,-2.690,26.88,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272929.111,115800,-0.180,-3,0,-1,-2.696,-2.700,26.88,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272929.157,115900,0.000,0,0,0,-2.699,-2.700,26.91,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272929.292,116001,0.000,0,1,0,-2.702,-2.700,26.89,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272929.405,116100,0.000,0,0,1,-2.706,-2.710,26.85,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272929.551,116200,-0.060,-1,0,0,-2.705,-2.710,26.87,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272929.553,116300,0.000,0,0,-2,-2.705,-2.710,26.91,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272929.675,116400,0.000,0,0,0,-2.709,-2.710,26.86,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272929.803,116500,0.120,2,0,0,-2.712,-2.710,26.89,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272929.951,116600,0.000,0,0,0,-2.714,-2.710,26.86,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272929.953,116700,0.000,0,3,-1,-2.717,-2.720,26.86,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272930.078,116800,0.000,0,0,0,-2.721,-2.720,26.90,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272930.200,116900,-0.060,-1,3,-1,-2.724,-2.720,26.93,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272930.350,117000,0.000,0,2,0,-2.725,-2.720,26.86,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272930.351,117100,-0.060,-1,0,0,-2.728,-2.730,26.88,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272930.475,117200,0.060,1,0,0,-2.730,-2.730,26.87,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272930.600,117300,0.060,1,0,0,-2.733,-2.730,26.93,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272930.755,117400,0.060,1,0,0,-2.733,-2.730,26.86,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272930.756,117501,0.000,0,1,-1,-2.737,-2.740,26.88,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272930.909,117601,0.000,0,0,-1,-2.739,-2.740,26.88,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272931.001,117700,0.000,0,1,-1,-2.742,-2.740,26.87,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781272931.150,117800,0.060,1,0,0,-2.744,-2.740,26.87,90.00,0.00,0.00,0.00,2.500,0.010,0.180
