pc_timestamp,tick,gyrx_dps,gyrx_raw,gyry_raw,gyrz_raw,yaw_cf,yaw_kal,temp,angle,speed,odom_x,odom_y,kp,ki,kd
1781277409.780,53901,0.060,1,3,0,-0.636,-0.640,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277409.885,54001,0.120,2,2,0,-0.639,-0.640,26.02,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277410.011,54101,0.000,0,-1,-1,-0.638,-0.640,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277410.134,54201,0.120,2,0,0,-0.638,-0.640,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277410.266,54300,-0.060,-1,-1,-1,-0.639,-0.640,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277410.267,54401,0.180,3,0,1,-0.637,-0.640,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277410.403,54500,-0.060,-1,2,-2,-0.638,-0.640,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277410.476,54600,0.060,1,2,1,-0.638,-0.640,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277410.612,54701,0.000,0,-1,-2,-0.638,-0.640,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277410.731,54800,0.060,1,1,-1,-0.641,-0.640,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277410.863,54900,0.000,0,2,0,-0.646,-0.650,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277410.863,55001,0.180,3,1,-1,-0.649,-0.650,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277410.999,55101,-0.060,-1,1,1,-0.647,-0.650,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277411.119,55200,-0.060,-1,1,0,-0.649,-0.650,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277411.269,55300,0.060,1,0,-2,-0.652,-0.650,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277411.269,55400,-0.060,-1,1,1,-0.650,-0.650,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277411.375,55501,0.060,1,-1,0,-0.652,-0.650,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277411.490,55601,-0.120,-2,1,-2,-0.655,-0.650,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277411.616,55700,0.120,2,-2,0,-0.654,-0.650,26.02,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277411.663,55800,0.060,1,2,0,-0.655,-0.650,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277411.813,55900,0.000,0,1,-2,-0.656,-0.660,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277411.911,56000,0.000,0,-1,1,-0.658,-0.660,26.02,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277412.013,56100,-0.060,-1,1,-2,-0.659,-0.660,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277412.105,56200,0.000,0,2,0,-0.657,-0.660,26.02,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277412.206,56300,0.000,0,1,0,-0.657,-0.660,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277412.304,56400,-0.060,-1,2,-2,-0.660,-0.660,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277412.491,56500,-0.060,-1,-2,0,-0.659,-0.660,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277412.587,56600,-0.060,-1,0,0,-0.663,-0.660,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277412.685,56701,-0.060,-1,1,-3,-0.663,-0.660,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277412.691,56800,-0.060,-1,1,-1,-0.663,-0.660,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277412.784,56901,0.060,1,1,-2,-0.665,-0.660,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277412.880,57001,0.000,0,2,1,-0.664,-0.660,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277413.070,57100,-0.060,-1,0,0,-0.665,-0.660,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277413.114,57200,0.060,1,0,0,-0.665,-0.670,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277413.271,57301,0.120,2,0,0,-0.667,-0.670,26.04,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277413.275,57400,0.000,0,0,-2,-0.669,-0.670,26.02,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277413.377,57501,0.000,0,0,0,-0.670,-0.670,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277413.475,57601,0.060,1,1,0,-0.671,-0.670,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277413.579,57701,0.300,5,0,1,-0.671,-0.670,26.02,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277413.693,57800,-0.060,-1,4,-1,-0.670,-0.670,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277413.832,57900,0.180,3,2,1,-0.674,-0.670,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277414.087,58000,0.060,1,1,-1,-0.672,-0.670,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277414.091,58100,-0.060,-1,1,-1,-0.672,-0.670,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277414.114,58201,0.000,0,0,1,-0.670,-0.670,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277414.222,58300,0.060,1,1,-2,-0.670,-0.670,26.02,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277414.370,58401,0.060,1,-1,-1,-0.669,-0.670,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277414.372,58500,0.000,0,0,1,-0.672,-0.670,26.03,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277414.469,58600,0.120,2,1,-1,-0.671,-0.670,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277414.574,58700,0.060,1,2,2,-0.672,-0.670,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277414.683,58801,0.060,1,2,-1,-0.673,-0.670,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277414.807,58900,-0.060,-1,0,2,-0.675,-0.680,26.03,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277414.917,59000,-0.060,-1,1,-1,-0.677,-0.680,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277415.041,59101,0.000,0,-1,2,-0.676,-0.680,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277415.170,59200,-0.060,-1,-1,-1,-0.680,-0.680,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781277415.174,59300,0.120,2,1,1,-0.680,-0.680,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
