pc_timestamp,tick,gyrx_dps,gyrx_raw,gyry_raw,gyrz_raw,yaw_cf,yaw_kal,temp,angle,speed,odom_x,odom_y,kp,ki,kd
1781279723.988,89700,-0.060,-1,-1,0,0.444,0.440,26.04,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279724.125,89801,-0.060,-1,0,-2,0.446,0.450,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279724.189,89900,0.000,0,3,0,0.444,0.440,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279724.294,90000,0.000,0,3,-4,0.439,0.440,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279724.398,90100,0.060,1,1,0,0.437,0.440,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279724.503,90200,0.180,3,-3,1,0.438,0.440,25.95,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279724.651,90301,0.240,4,0,-5,0.436,0.440,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279724.725,90400,-0.060,-1,-1,-3,0.433,0.430,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279724.793,90500,0.000,0,-1,0,0.431,0.430,25.94,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279724.908,90601,0.000,0,3,0,0.431,0.430,26.02,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279725.004,90700,0.000,0,-24,0,0.425,0.430,25.95,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279725.109,90800,-0.120,-2,-1,0,0.435,0.430,25.97,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279725.193,90900,0.000,0,5,0,0.433,0.430,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279725.298,91000,0.000,0,6,-2,0.433,0.430,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279725.393,91100,0.120,2,3,-2,0.434,0.430,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279725.486,91201,0.180,3,-1,0,0.438,0.440,25.95,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279725.590,91300,0.060,1,-6,-3,0.438,0.440,25.96,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279725.694,91401,0.000,0,3,1,0.438,0.440,25.97,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279725.788,91500,0.060,1,5,0,0.442,0.440,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279725.892,91601,0.180,3,4,1,0.441,0.440,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279725.987,91700,0.180,3,1,-4,0.437,0.440,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279726.092,91800,-0.060,-1,-1,-2,0.433,0.430,25.97,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279726.197,91901,0.120,2,3,-1,0.433,0.430,25.96,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279726.292,92001,0.180,3,0,3,0.440,0.440,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279726.388,92100,0.180,3,-2,3,0.438,0.440,25.96,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279726.493,92200,0.000,0,-1,-1,0.439,0.440,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279726.587,92300,0.120,2,-2,0,0.433,0.430,25.97,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279726.691,92400,0.060,1,0,4,0.435,0.430,25.97,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279726.786,92501,0.180,3,1,0,0.427,0.430,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279726.892,92601,0.000,0,3,0,0.428,0.430,25.96,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279726.986,92701,0.180,3,1,-2,0.424,0.420,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279727.092,92800,-0.240,-4,0,-2,0.423,0.420,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279727.188,92901,0.000,0,-1,-4,0.419,0.420,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279727.302,93000,0.240,4,-1,-3,0.419,0.420,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279727.408,93101,0.120,2,2,0,0.419,0.420,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279727.503,93201,-0.060,-1,4,0,0.415,0.420,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279727.576,93300,0.060,1,0,-1,0.413,0.410,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279727.693,93401,-0.120,-2,0,-2,0.411,0.410,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279727.788,93501,-0.060,-1,1,3,0.408,0.410,25.97,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279727.893,93600,0.000,0,2,-3,0.410,0.410,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279727.998,93700,-0.120,-2,2,-1,0.408,0.410,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279728.093,93800,0.120,2,1,0,0.411,0.410,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279728.187,93900,0.120,2,0,0,0.416,0.420,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279728.292,94000,0.000,0,2,-3,0.416,0.420,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279728.408,94100,-0.180,-3,3,-3,0.414,0.410,25.95,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279728.491,94200,0.060,1,5,-7,0.412,0.410,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279728.587,94301,0.120,2,0,-1,0.405,0.400,25.97,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279728.693,94401,-0.060,-1,0,2,0.410,0.410,25.99,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279728.798,94500,-0.120,-2,4,-2,0.413,0.410,26.00,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279728.904,94600,0.000,0,1,-4,0.410,0.410,26.02,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279728.998,94700,0.120,2,2,-1,0.413,0.410,26.01,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279729.103,94801,0.000,0,2,0,0.409,0.410,25.98,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279729.188,94900,0.120,2,0,-2,0.407,0.410,25.97,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279729.293,95000,0.000,0,2,-1,0.406,0.410,26.02,90.00,0.00,0.00,0.00,2.500,0.010,0.180
1781279729.398,95100,0.060,1,1,0,0.411,0.410,25.96,90.00,0.00,0.00,0.00,2.500,0.010,0.180
