"gyro_x_dps","yaw_kal_deg","servo_angle_deg","ave_speed","odom_x_cm","odom_y_cm","heading_kp","heading_ki","heading_kd","gyro_x_raw","gyro_y_raw","gyro_z_raw","yaw_cf_deg","temp_c","tick_ms"
"0.06","0","90","0","0","0","2.5","0.01","0.18","1","0","0","0.001","26.37","1396401"
"0","0","90","0","0","0","2.5","0.01","0.18","0","0","0","-0.002","26.41","1396500"
"0","0","90","0","0","0","2.5","0.01","0.18","0","-3","1","-0.002","26.39","1396600"
"-0.06","0","90","0","0","0","2.5","0.01","0.18","-1","0","1","-0.003","26.37","1396701"
"0","0","90","0","0","0","2.5","0.01","0.18","0","2","0","-0.003","26.41","1396800"
"0","0","90","0","0","0","2.5","0.01","0.18","0","0","-1","-0.004","26.38","1396900"
"0","-0.01","90","0","0","0","2.5","0.01","0.18","0","2","-1","-0.005","26.4","1397001"
"0","0","90","0","0","0","2.5","0.01","0.18","0","0","-1","-0.005","26.38","1397100"
"0","-0.01","90","0","0","0","2.5","0.01","0.18","0","-1","1","-0.005","26.41","1397201"
"0","0","90","0","0","0","2.5","0.01","0.18","0","0","0","-0.004","26.43","1397300"
"-0.06","0","90","0","0","0","2.5","0.01","0.18","-1","-1","0","-0.003","26.4","1397400"
"0","0","90","0","0","0","2.5","0.01","0.18","0","0","0","-0.004","26.39","1397501"
"-0.06","0","90","0","0","0","2.5","0.01","0.18","-1","0","-1","-0.004","26.38","1397600"
"0","-0.01","90","0","0","0","2.5","0.01","0.18","0","0","0","-0.005","26.38","1397700"
"0","0","90","0","0","0","2.5","0.01","0.18","0","0","0","-0.004","26.38","1397801"
"0","0","90","0","0","0","2.5","0.01","0.18","0","0","-1","-0.003","26.37","1397900"
"0.06","-0.01","90","0","0","0","2.5","0.01","0.18","1","1","0","-0.006","26.42","1398001"
"0","-0.01","90","0","0","0","2.5","0.01","0.18","0","-1","0","-0.006","26.39","1398100"
"-0.06","-0.01","90","0","0","0","2.5","0.01","0.18","-1","0","0","-0.005","26.4","1398200"
"0","-0.01","90","0","0","0","2.5","0.01","0.18","0","0","0","-0.006","26.38","1398300"
"-0.12","0","90","0","0","0","2.5","0.01","0.18","-2","-2","0","-0.005","26.4","1398401"
"0","-0.01","90","0","0","0","2.5","0.01","0.18","0","0","0","-0.007","26.38","1398500"
"0","0","90","0","0","0","2.5","0.01","0.18","0","1","0","-0.005","26.37","1398601"
"0","0","90","0","0","0","2.5","0.01","0.18","0","0","-1","-0.004","26.39","1398701"
"-0.06","0","90","0","0","0","2.5","0.01","0.18","-1","0","0","-0.004","26.38","1398801"
"0","0","90","0","0","0","2.5","0.01","0.18","0","2","0","-0.005","26.39","1398900"
"0","-0.01","90","0","0","0","2.5","0.01","0.18","0","0","1","-0.006","26.38","1399000"
"0","-0.01","90","0","0","0","2.5","0.01","0.18","0","0","0","-0.006","26.35","1399100"
"0","-0.01","90","0","0","0","2.5","0.01","0.18","0","1","1","-0.006","26.39","1399201"
"-0.06","-0.01","90","0","0","0","2.5","0.01","0.18","-1","0","-1","-0.006","26.39","1399300"
"0","0","90","0","0","0","2.5","0.01","0.18","0","1","0","-0.005","26.42","1399400"
