Timestamp,Gx,Gy,Gz,Servo_Angle,Speed
2026-05-26 21:35:41.558,-0.305,0.0,9.146,120.0,7.59
2026-05-26 21:35:41.581,-0.427,-0.122,10.671,120.0,7.59
2026-05-26 21:35:41.649,-0.122,-0.427,9.39,120.0,7.379
2026-05-26 21:35:41.675,-1.159,0.427,9.146,120.0,7.168
2026-05-26 21:35:41.690,-0.366,-0.061,8.476,120.0,7.59
2026-05-26 21:35:41.738,-1.037,0.183,11.402,120.0,7.168
2026-05-26 21:35:41.752,0.061,-0.366,7.195,120.0,7.379
2026-05-26 21:35:41.768,-1.402,1.159,11.585,120.0,6.957
2026-05-26 21:35:41.863,-0.305,0.305,9.817,120.0,7.379
2026-05-26 21:35:41.877,-0.427,1.22,9.695,120.0,7.59
2026-05-26 21:35:41.893,-0.305,1.159,9.146,120.0,7.59
2026-05-26 21:35:41.964,-0.061,1.463,9.268,120.0,6.957
2026-05-26 21:35:41.985,-0.183,0.183,7.927,120.0,7.379
2026-05-26 21:35:42.001,-1.768,1.89,10.122,120.0,7.168
2026-05-26 21:35:42.064,-1.707,0.976,8.354,120.0,6.536
2026-05-26 21:35:42.078,-1.159,0.061,9.207,120.0,6.536
2026-05-26 21:35:42.093,-1.28,0.488,8.537,120.0,6.536
2026-05-26 21:35:42.166,-1.22,0.244,9.085,120.0,6.325
2026-05-26 21:35:42.186,-1.098,0.488,8.598,120.0,6.114
2026-05-26 21:35:42.201,-1.22,-0.305,10.0,120.0,6.325
2026-05-26 21:35:42.291,-1.159,-0.488,7.866,120.0,6.536
2026-05-26 21:35:42.310,-1.28,0.183,9.756,120.0,5.903
2026-05-26 21:35:42.326,0.0,-1.098,8.598,120.0,6.536
2026-05-26 21:35:42.368,-0.427,0.122,9.39,120.0,6.325
2026-05-26 21:35:42.389,1.037,-1.463,7.683,120.0,6.957
2026-05-26 21:35:42.405,-1.22,0.671,8.963,120.0,6.957
2026-05-26 21:35:42.494,-0.244,0.305,8.232,120.0,7.59
2026-05-26 21:35:42.515,-0.61,0.0,10.366,120.0,7.168
2026-05-26 21:35:42.599,0.122,0.0,7.5,120.0,7.59
2026-05-26 21:35:42.625,-0.732,0.915,9.024,120.0,7.379
2026-05-26 21:35:42.641,0.183,-0.305,7.744,120.0,8.011
2026-05-26 21:35:42.699,-1.159,1.159,10.0,120.0,7.59
2026-05-26 21:35:42.720,-0.915,0.549,7.744,120.0,7.379
2026-05-26 21:35:42.737,-1.159,0.427,10.122,120.0,7.168
2026-05-26 21:35:42.803,-1.22,0.549,8.963,120.0,7.59
2026-05-26 21:35:42.828,-0.427,-0.671,9.817,120.0,7.8
2026-05-26 21:35:42.843,-1.341,0.366,9.024,120.0,7.168
2026-05-26 21:35:42.903,0.061,-1.159,8.78,120.0,7.8
2026-05-26 21:35:42.921,-1.037,-0.122,10.61,120.0,7.168
2026-05-26 21:35:42.937,-0.366,0.244,8.049,120.0,7.59
2026-05-26 21:35:43.011,-0.183,-0.793,11.098,120.0,7.59
2026-05-26 21:35:43.031,-0.793,0.549,10.0,120.0,7.8
2026-05-26 21:35:43.047,-0.488,0.671,9.634,120.0,7.379
2026-05-26 21:35:43.138,0.488,-0.732,8.902,120.0,7.168
2026-05-26 21:35:43.155,-0.305,0.122,9.39,120.0,7.379
2026-05-26 21:35:43.171,-0.854,1.951,8.171,120.0,6.536
2026-05-26 21:35:43.216,0.244,-0.671,8.841,120.0,7.168
2026-05-26 21:35:43.234,-1.524,0.549,10.122,120.0,7.379
2026-05-26 21:35:43.250,-0.671,0.305,7.439,120.0,7.168
2026-05-26 21:35:43.341,-0.061,-0.915,10.427,120.0,8.011
2026-05-26 21:35:43.360,-0.427,-0.976,9.085,120.0,7.59
2026-05-26 21:35:43.376,-0.976,0.61,9.085,120.0,7.59
2026-05-26 21:35:43.446,0.122,-0.61,9.268,120.0,7.59
2026-05-26 21:35:43.467,-1.402,-0.183,10.915,120.0,8.011
2026-05-26 21:35:43.483,0.183,-0.488,9.146,120.0,7.168
2026-05-26 21:35:43.546,0.122,-0.61,10.732,120.0,8.222
2026-05-26 21:35:43.560,-0.488,-0.122,10.671,120.0,7.59
2026-05-26 21:35:43.645,0.671,-0.061,9.512,120.0,8.011
2026-05-26 21:35:43.669,0.183,-0.183,10.427,120.0,8.011
2026-05-26 21:35:43.685,-0.366,0.671,9.39,120.0,7.8
2026-05-26 21:35:43.749,-0.61,0.549,11.585,120.0,7.8
2026-05-26 21:35:43.762,-0.915,1.463,7.988,120.0,7.168
2026-05-26 21:35:43.778,-0.366,0.061,10.732,120.0,7.59
2026-05-26 21:35:43.866,-1.22,1.768,11.159,120.0,7.168
2026-05-26 21:35:43.889,-0.488,0.61,8.78,120.0,7.59
2026-05-26 21:35:43.905,-0.854,1.098,9.39,120.0,7.379
2026-05-26 21:35:43.963,-0.854,1.402,8.659,120.0,7.379
2026-05-26 21:35:43.984,-0.427,0.183,9.329,120.0,6.746
2026-05-26 21:35:44.000,-0.122,-0.183,7.134,120.0,7.168
2026-05-26 21:35:44.067,-0.061,0.122,9.085,120.0,6.325
2026-05-26 21:35:44.092,0.183,-0.549,5.61,120.0,6.325
2026-05-26 21:35:44.107,-0.244,0.183,9.146,120.0,5.692
2026-05-26 21:35:44.169,0.244,-1.037,6.768,120.0,6.114
2026-05-26 21:35:44.186,-0.488,0.793,7.927,120.0,4.849
2026-05-26 21:35:44.202,0.915,-1.159,6.524,120.0,5.692
2026-05-26 21:35:44.278,-0.61,0.0,7.988,120.0,4.849
2026-05-26 21:35:44.296,0.0,0.061,5.854,120.0,5.692
2026-05-26 21:35:44.311,0.0,-0.305,8.049,120.0,5.692
2026-05-26 21:35:44.382,0.0,0.183,6.28,120.0,5.481
2026-05-26 21:35:44.406,-0.488,1.159,7.988,120.0,6.114
2026-05-26 21:35:44.421,0.305,-0.549,6.22,120.0,6.325
2026-05-26 21:35:44.496,0.244,0.427,8.841,120.0,5.481
